mesh_name,G_N,G_NNZ,solver_type,ordering_type,nd_levels,patch_type,patch_size,patch_time,factor/matrix NNZ ratio,ordering_time,analysis_time,factorization_time,solve_time,residual
372114,1577057,11039387,CUDSS,DEFAULT,0,,0,0,-9.05847e-08,-1,8589,97,39,1.05587e-13
uploads_b1_e4_b1_2a_5c_20131208+VenusDeMilo+Full+Scale+captured+by+Cosmo+Wenman,1577057,11039387,CUDSS,DEFAULT,0,,0,0,-9.05847e-08,-1,8354,95,47,1.05415e-13
Poetsche_Photoskultur_Goethe,1592141,11145023,CUDSS,DEFAULT,0,,0,0,-8.97261e-08,-1,8360,113,87,1.05934e-13
Bootleg_Eve,1648092,11536650,CUDSS,DEFAULT,0,,0,0,-8.66803e-08,-1,10524,92,69,1.0698e-13
Lucius_Quinctius_Cincinnatus,1683007,11781157,CUDSS,DEFAULT,0,,0,0,-8.48813e-08,-1,11326,113,50,1.09135e-13
Willy_Selke_Tondo,1696572,11876360,CUDSS,DEFAULT,0,,0,0,-8.42009e-08,-1,9159,100,49,1.07716e-13
Francois_Willeme_Selbsbildnis_LOW_170mb,1740098,12180890,CUDSS,DEFAULT,0,,0,0,-8.20958e-08,-1,9472,115,67,1.10686e-13
Horned_Sea_Star,1749060,12243426,CUDSS,DEFAULT,0,,0,0,-8.16765e-08,-1,10036,115,50,1.10102e-13
Beethoven,1749976,12249958,CUDSS,DEFAULT,0,,0,0,-8.16329e-08,-1,11924,102,53,1.11276e-13
Murex_Romosus,1759781,12318455,CUDSS,DEFAULT,0,,0,0,-8.1179e-08,-1,11166,128,87,1.12015e-13
bunnyhead,1550,10648,CUDSS,PARTH,9,,0,0,4.5911,30,14,12,3,3.3743e-15
bunnyhead,1550,10648,CUDSS,PARTH,11,,0,0,4.55147,51,14,12,3,3.32191e-15
squircle,2020,14094,CUDSS,PARTH,9,,0,0,6.00937,36,13,12,4,3.87866e-15
squircle,2020,14094,CUDSS,PARTH,11,,0,0,5.98311,46,14,13,3,3.87046e-15
plane_subdiv,2209,15169,CUDSS,PARTH,9,,0,0,2.63399,44,14,13,3,3.67607e-15
