mesh_name,iteration,ordering_type,solver_type,G_N,G_NNZ,nd_levels,patch_type,patch_size,patch_time,factor/matrix NNZ ratio,ordering_init_time,ordering_time,ordering_integration_time,analysis_time,factorization_time,solve_time,residual
armadillo_cut_high,8,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
armadillo_cut_high,9,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
armadillo_cut_high,10,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
armadillo_cut_high,11,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
armadillo_cut_high,12,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
armadillo_cut_high,13,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
armadillo_cut_high,14,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
armadillo_cut_high,15,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
armadillo_cut_high,16,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
armadillo_cut_high,17,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
armadillo_cut_high,18,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
armadillo_cut_high,19,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
armadillo_cut_high,20,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
armadillo_cut_high,21,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
armadillo_cut_high,22,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
armadillo_cut_high,23,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
