G_N,G_NNZ,factor/matrix NNZ ratio,factor/metis factor,org factor/metis factor,ordering_time,analysis_time,factorization_time,solve_time,residual
120000,2048037,22.4463,1.26839,1.27628,55,-1,-1,-1,0
120000,2048739,23.0425,1.31195,1.29003,53,-1,-1,-1,0
120000,2049063,22.4051,1.26861,1.28567,55,-1,-1,-1,0
120000,2049225,23.1666,1.31992,1.29901,57,-1,-1,-1,0
120000,2049819,22.7427,1.29397,1.31135,58,-1,-1,-1,0
120000,2050467,23.1033,1.30876,1.30783,54,-1,-1,-1,0
120000,2050701,23.2508,1.34111,1.33222,55,-1,-1,-1,0
120000,2050926,22.7183,1.29637,1.32075,55,-1,-1,-1,0
120000,2051547,22.5387,1.2789,1.32307,55,-1,-1,-1,0
120000,2051727,23.1249,1.30946,1.32112,73,-1,-1,-1,0
120000,2052222,23.367,1.32216,1.32384,51,-1,-1,-1,0
120000,2052618,23.093,1.32058,1.34423,57,-1,-1,-1,0
120000,2053041,22.3933,1.25019,1.31365,53,-1,-1,-1,0
120000,2053338,23.5142,1.32021,1.32107,53,-1,-1,-1,0
120000,2053986,23.2023,1.29711,1.31939,78,-1,-1,-1,0
120000,2054265,24.5365,1.37875,1.33017,56,-1,-1,-1,0
120000,2054526,23.9156,1.33666,1.32307,53,-1,-1,-1,0
120000,2054490,23.2219,1.32013,1.34549,51,-1,-1,-1,0
120000,2054553,23.9155,1.32959,1.31723,56,-1,-1,-1,0
120000,2054562,23.7958,1.31695,1.31161,57,-1,-1,-1,0
120000,2054706,23.6378,1.31705,1.3208,60,-1,-1,-1,0
120000,2054886,23.1238,1.29283,1.32641,55,-1,-1,-1,0
120000,2054868,24.1605,1.36493,1.34185,57,-1,-1,-1,0
120000,2052879,23.0247,1.31064,1.34898,56,-1,-1,-1,0
120000,2053788,24.0962,1.36043,1.34051,55,-1,-1,-1,0
120000,2054292,23.108,1.28478,1.32095,68,-1,-1,-1,0
120000,2054787,23.4946,1.32093,1.33767,54,-1,-1,-1,0
120000,2055273,23.854,1.337,1.33916,56,-1,-1,-1,0
120000,2056101,23.3471,1.29712,1.33323,59,-1,-1,-1,0
120000,2056578,23.7204,1.31529,1.33544,76,-1,-1,-1,0
120000,2057064,23.3169,1.29848,1.34551,59,-1,-1,-1,0
