mesh_name,iteration,ordering_type,solver_type,G_N,G_NNZ,nd_levels,patch_type,patch_size,patch_time,factor/matrix NNZ ratio,prep_time,ordering_time,ordering_integration_time,analysis_time,factorization_time,solve_time,residual
bumpy-cube,3,DEFAULT,CUDSS,19970,139778,0,,0,0,0,0,0,0,0,2,1,4.6753e-05
bumpy-cube,4,DEFAULT,CUDSS,19970,139778,0,,0,0,0,0,0,0,0,2,1,4.05527e-05
bumpy-cube,5,DEFAULT,CUDSS,19970,139778,0,,0,0,0,0,0,0,0,2,1,3.71351e-05
sphere6,0,DEFAULT,CUDSS,24578,172034,0,,0,0,0,-1,-1,124,15,12,4,0.0370413
sphere6,1,DEFAULT,CUDSS,24578,172034,0,,0,0,0,0,0,0,0,3,1,2.66902e-05
sphere6,2,DEFAULT,CUDSS,24578,172034,0,,0,0,0,0,0,0,0,3,1,2.66903e-05
sphere6,3,DEFAULT,CUDSS,24578,172034,0,,0,0,0,0,0,0,0,3,1,2.66903e-05
sphere6,4,DEFAULT,CUDSS,24578,172034,0,,0,0,0,0,0,0,0,3,1,2.66904e-05
sphere6,5,DEFAULT,CUDSS,24578,172034,0,,0,0,0,0,0,0,0,3,1,2.66904e-05
gargoyle,0,DEFAULT,CUDSS,29921,209435,0,,0,0,0,-1,-1,128,15,11,6,0.0075062
gargoyle,1,DEFAULT,CUDSS,29921,209435,0,,0,0,0,0,0,0,0,2,1,0.000114184
gargoyle,2,DEFAULT,CUDSS,29921,209435,0,,0,0,0,0,0,0,0,2,1,8.41192e-05
gargoyle,3,DEFAULT,CUDSS,29921,209435,0,,0,0,0,0,0,0,0,2,1,7.02537e-05
gargoyle,4,DEFAULT,CUDSS,29921,209435,0,,0,0,0,0,0,0,0,2,1,6.07153e-05
gargoyle,5,DEFAULT,CUDSS,29921,209435,0,,0,0,0,0,0,0,0,2,1,5.34806e-05
191118_mia337_081675_64Kmesh_MMrepaired,0,DEFAULT,CUDSS,31771,223621,0,,0,0,0,-1,-1,131,16,11,4,0.555203
191118_mia337_081675_64Kmesh_MMrepaired,1,DEFAULT,CUDSS,31771,223621,0,,0,0,0,0,0,0,0,2,2,0.000639716
191118_mia337_081675_64Kmesh_MMrepaired,2,DEFAULT,CUDSS,31771,223621,0,,0,0,0,0,0,0,0,2,2,0.000459207
191118_mia337_081675_64Kmesh_MMrepaired,3,DEFAULT,CUDSS,31771,223621,0,,0,0,0,0,0,0,0,2,1,0.000396182
191118_mia337_081675_64Kmesh_MMrepaired,4,DEFAULT,CUDSS,31771,223621,0,,0,0,0,0,0,0,0,2,2,0.000367852
191118_mia337_081675_64Kmesh_MMrepaired,5,DEFAULT,CUDSS,31771,223621,0,,0,0,0,0,0,0,0,2,1,0.000349272
Mia_000887_ShakyamuniBuddha,0,DEFAULT,CUDSS,32008,224008,0,,0,0,0,-1,-1,132,16,11,5,0.000244355
Mia_000887_ShakyamuniBuddha,1,DEFAULT,CUDSS,32008,224008,0,,0,0,0,0,0,0,0,2,2,5.19018e-05
Mia_000887_ShakyamuniBuddha,2,DEFAULT,CUDSS,32008,224008,0,,0,0,0,0,0,0,0,0,2,0.00838488
Mia_000887_ShakyamuniBuddha,3,DEFAULT,CUDSS,32008,224008,0,,0,0,0,0,0,0,0,0,2,0.00374289
Mia_000887_ShakyamuniBuddha,4,DEFAULT,CUDSS,32008,224008,0,,0,0,0,0,0,0,0,0,2,0.00414298
Mia_000887_ShakyamuniBuddha,5,DEFAULT,CUDSS,32008,224008,0,,0,0,0,0,0,0,0,0,2,0.00307365
Mia_001135_Zun_64K_OBJ,0,DEFAULT,CUDSS,31996,223996,0,,0,0,0,-1,-1,133,15,10,4,0.401232
Mia_001135_Zun_64K_OBJ,1,DEFAULT,CUDSS,31996,223996,0,,0,0,0,0,0,0,0,2,1,0.000134154
Mia_001135_Zun_64K_OBJ,2,DEFAULT,CUDSS,31996,223996,0,,0,0,0,0,0,0,0,2,1,8.95762e-05
Mia_001135_Zun_64K_OBJ,3,DEFAULT,CUDSS,31996,223996,0,,0,0,0,0,0,0,0,2,1,7.8487e-05
Mia_001135_Zun_64K_OBJ,4,DEFAULT,CUDSS,31996,223996,0,,0,0,0,0,0,0,0,2,1,7.03882e-05
Mia_001135_Zun_64K_OBJ,5,DEFAULT,CUDSS,31996,223996,0,,0,0,0,0,0,0,0,2,1,6.13118e-05
chinese_dragon,0,DEFAULT,CUDSS,65599,459181,0,,0,0,0,-1,-1,279,19,12,5,0.00452271
chinese_dragon,1,DEFAULT,CUDSS,65599,459181,0,,0,0,0,0,0,0,0,3,2,7.53609e-05
chinese_dragon,2,DEFAULT,CUDSS,65599,459181,0,,0,0,0,0,0,0,0,3,2,5.51975e-05
chinese_dragon,3,DEFAULT,CUDSS,65599,459181,0,,0,0,0,0,0,0,0,3,2,4.84425e-05
chinese_dragon,4,DEFAULT,CUDSS,65599,459181,0,,0,0,0,0,0,0,0,3,2,4.4629e-05
chinese_dragon,5,DEFAULT,CUDSS,65599,459181,0,,0,0,0,0,0,0,0,3,2,4.21886e-05
loop,0,DEFAULT,CUDSS,173440,1214560,0,,0,0,0,-1,-1,720,37,15,7,0.00225747
loop,1,DEFAULT,CUDSS,173440,1214560,0,,0,0,0,0,0,0,0,9,6,0.000112309
loop,2,DEFAULT,CUDSS,173440,1214560,0,,0,0,0,0,0,0,0,9,6,9.03591e-05
loop,3,DEFAULT,CUDSS,173440,1214560,0,,0,0,0,0,0,0,0,10,6,7.28685e-05
loop,4,DEFAULT,CUDSS,173440,1214560,0,,0,0,0,0,0,0,0,9,6,6.60159e-05
loop,5,DEFAULT,CUDSS,173440,1214560,0,,0,0,0,0,0,0,0,10,6,6.53965e-05
Jahn_C,0,DEFAULT,CUDSS,181309,1269151,0,,0,0,0,-1,-1,819,45,17,12,52.1206
Jahn_C,1,DEFAULT,CUDSS,181309,1269151,0,,0,0,0,0,0,0,0,12,6,8.85585e-05
Jahn_C,2,DEFAULT,CUDSS,181309,1269151,0,,0,0,0,0,0,0,0,12,6,7.09905e-05
Jahn_C,3,DEFAULT,CUDSS,181309,1269151,0,,0,0,0,0,0,0,0,12,6,6.79549e-05
Jahn_C,4,DEFAULT,CUDSS,181309,1269151,0,,0,0,0,0,0,0,0,12,6,6.73837e-05
Jahn_C,5,DEFAULT,CUDSS,181309,1269151,0,,0,0,0,0,0,0,0,12,6,6.82777e-05
